"","#"," ","Marka Kodu","Marka Adı","Durum","Görsel","İşlemler"
"","1","","JB27","FORTNITE","","",""
"","2","","JB26","L.O.L.","","",""
"","3","","JB25","POLLY POCKET","","",""
"","4","","JB24","PLAY-DOH","","",""
"","5","","JB23","NECO","","",""
"","6","","JB22","LEGO","","",""
"","7","","JB21","HASBRO GAMES","","",""
"","8","","JB20","EDUCA","","",""
"","9","","JB19","NERF","","",""
"","10","","JB18","HOT WHEELS","","",""
"","11","","JB17","FROZEN","","",""
"","12","","JB16","BU-BU","","",""
"","13","","JB15","CA GAMES","","",""
"","14","","JB14","CUBIC FUN","","",""
"","15","","JB13","REVELL","","",""
"","16","","JB12","PASİFİK","","",""
"","17","","JB11","DEDE","","",""
"","18","","JB10","CTOY","","",""
"","19","","JB9","CAN TOYS","","",""
"","20","","JB8","CLEMENTONI","","",""
"","21","","JB7","CANEM","","",""
"","22","","JB6","SIMBA","","",""
"","23","","JB5","SUNMAN","","",""
"","24","","JB4","BARBIE","","",""
"","25","","JB3","MY LITTLE PONY","","",""
